"ID","Task","Session","N.Sessions","Counterbalance","Trial","Stimulus.1","Stimulus.2","Structure","Reversal","Response"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",62,"re_60_M_s_nw_propaganda_70","F_s_w_propaganda_70","NW",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",63,"re_60_M_s_nw_academic_70","F_s_nw_academic_70","NN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",64,"re_60_M_s_nw_decorated_70","F_s_nw_decorated_70","NN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",65,"re_60_M_s_w_identical_70","F_s_nw_identical_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",66,"re_40_M_s_w_predicament_70","F_s_nw_predicament_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",67,"re_40_M_s_w_incapable_70","F_s_nw_incapable_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",68,"re_40_M_s_w_extraordinary_70","F_s_nw_extraordinary_70","WN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",69,"re_40_M_s_w_understandable_70","F_s_w_understandable_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",70,"re_60_M_s_w_documentary_70","F_s_w_documentary_70","WW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",71,"re_60_M_s_w_interrupted_70","F_s_nw_interrupted_70","WN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",72,"re_40_M_s_w_nobody_70","F_s_nw_nobody_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",73,"re_60_M_s_nw_appointment_70","F_s_nw_appointment_70","NN",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",74,"re_40_M_s_w_electricity_70","F_s_nw_electricity_70","WN",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",75,"re_40_M_s_nw_contemporary_70","F_s_w_contemporary_70","NW",40,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",76,"re_60_M_s_nw_documentary_70","F_s_w_documentary_70","NW",60,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",77,"re_40_M_s_w_contemporary_70","F_s_w_contemporary_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",78,"re_40_M_s_nw_electricity_70","F_s_nw_electricity_70","NN",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",79,"re_60_M_s_nw_competition_70","F_s_nw_competition_70","NN",60,"Different"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",80,"re_40_M_s_w_extraordinary_70","F_s_w_extraordinary_70","WW",40,"Same"
"TIMETIME.001","LTRS",2,2,"LTRS_CB2_4060_24items",81,"re_40_M_s_w_contemporary_70","F_s_nw_contemporary_70","WN",40,"Different"
